cabeza|頭|sustantivo|身体
cara|顔|sustantivo|身体
ojo|目|sustantivo|身体
nariz|鼻|sustantivo|身体
boca|口|sustantivo|身体
oreja|耳|sustantivo|身体
pelo|髪|sustantivo|身体
brazo|腕|sustantivo|身体
mano|手|sustantivo|身体
dedo|指|sustantivo|身体
pierna|脚|sustantivo|身体
pie|足|sustantivo|身体
espalda|背中|sustantivo|身体
estómago|胃／お腹|sustantivo|身体
garganta|喉|sustantivo|身体
diente|歯|sustantivo|身体
salud|健康|sustantivo|健康
dolor|痛み|sustantivo|健康
hambre|空腹|sustantivo|健康
sed|喉の渇き|sustantivo|健康
camisa|シャツ|sustantivo|衣服
camiseta|Tシャツ|sustantivo|衣服
pantalón|ズボン|sustantivo|衣服
falda|スカート|sustantivo|衣服
vestido|ワンピース／ドレス|sustantivo|衣服
zapato|靴|sustantivo|衣服
chaqueta|ジャケット|sustantivo|衣服
abrigo|コート|sustantivo|衣服
sombrero|帽子|sustantivo|衣服
gafas|眼鏡|sustantivo|衣服
ropa|衣服|sustantivo|衣服
talla|サイズ|sustantivo|衣服
calcetín|靴下|sustantivo|衣服
bolso|バッグ|sustantivo|持ち物
maleta|スーツケース|sustantivo|持ち物
salón|居間|sustantivo|住居
comedor|食堂／ダイニング|sustantivo|住居
jardín|庭|sustantivo|住居
balcón|バルコニー|sustantivo|住居
sofá|ソファ|sustantivo|住居
armario|戸棚／クローゼット|sustantivo|住居
nevera|冷蔵庫|sustantivo|住居
lavadora|洗濯機|sustantivo|住居
ducha|シャワー|sustantivo|住居
espejo|鏡|sustantivo|住居
lámpara|ランプ|sustantivo|住居
ascensor|エレベーター|sustantivo|住居
piso|階／マンション|sustantivo|住居
alquiler|家賃／賃貸|sustantivo|住居
vecino|近所の人|sustantivo|人間関係
huevo|卵|sustantivo|飲食
queso|チーズ|sustantivo|飲食
azúcar|砂糖|sustantivo|飲食
sal|塩|sustantivo|飲食
aceite|油|sustantivo|飲食
sopa|スープ|sustantivo|飲食
ensalada|サラダ|sustantivo|飲食
bocadillo|サンドイッチ|sustantivo|飲食
pastel|ケーキ|sustantivo|飲食
helado|アイスクリーム|sustantivo|飲食
botella|瓶|sustantivo|飲食
vaso|グラス|sustantivo|飲食
taza|カップ|sustantivo|飲食
menú|メニュー|sustantivo|飲食
cuenta|勘定／口座|sustantivo|飲食
bebida|飲み物|sustantivo|飲食
cerveza|ビール|sustantivo|飲食
vino|ワイン|sustantivo|飲食
zumo|ジュース|sustantivo|飲食
postre|デザート|sustantivo|飲食
levantarse|起き上がる|verbo|日課
ducharse|シャワーを浴びる|verbo|日課
lavarse|体を洗う|verbo|日課
vestirse|服を着る|verbo|日課
acostarse|寝る|verbo|日課
dormir|眠る|verbo|日課
despertarse|目を覚ます|verbo|日課
cocinar|料理する|verbo|日課
limpiar|掃除する|verbo|日課
abrir|開ける|verbo|基本動詞
cerrar|閉める|verbo|基本動詞
empezar|始める|verbo|基本動詞
terminar|終える|verbo|基本動詞
llegar|到着する|verbo|移動
salir|出る／出発する|verbo|移動
volver|戻る|verbo|移動
entrar|入る|verbo|移動
subir|上がる|verbo|移動
bajar|下がる／降りる|verbo|移動
caminar|歩く|verbo|移動
correr|走る|verbo|運動
nadar|泳ぐ|verbo|運動
jugar|遊ぶ／競技する|verbo|余暇
ayudar|助ける|verbo|基本動詞
llamar|電話する／呼ぶ|verbo|通信
viaje|旅行|sustantivo|旅行
vacaciones|休暇|sustantivo|旅行
playa|海辺|sustantivo|旅行
montaña|山|sustantivo|自然
mapa|地図|sustantivo|旅行
billete|切符／紙幣|sustantivo|旅行
equipaje|荷物|sustantivo|旅行
pasaporte|パスポート|sustantivo|旅行
reserva|予約|sustantivo|旅行
recepción|受付|sustantivo|旅行
turista|観光客|sustantivo|旅行
museo|博物館／美術館|sustantivo|文化
parque|公園|sustantivo|場所
cine|映画館／映画|sustantivo|文化
teatro|劇場／演劇|sustantivo|文化
correo|郵便／メール|sustantivo|通信
carta|手紙／メニュー|sustantivo|通信
mensaje|メッセージ|sustantivo|通信
cita|約束／予約|sustantivo|予定
dirección|住所／方向|sustantivo|個人情報
cansado|疲れた|adjetivo|状態
contento|満足した／嬉しい|adjetivo|感情
enfadado|怒った|adjetivo|感情
preocupado|心配した|adjetivo|感情
nervioso|緊張した|adjetivo|感情
tranquilo|落ち着いた|adjetivo|感情
simpático|感じの良い|adjetivo|性格
amable|親切な|adjetivo|性格
importante|重要な|adjetivo|評価
diferente|異なる|adjetivo|比較
fácil|簡単な|adjetivo|評価
difícil|難しい|adjetivo|評価
caro|高価な|adjetivo|買い物
barato|安い|adjetivo|買い物
ocupado|忙しい／使用中の|adjetivo|状態
siempre|いつも|adverbio|頻度
nunca|決して〜ない|adverbio|頻度
a veces|時々|expresión|頻度
normalmente|普段は|adverbio|頻度
todavía|まだ|adverbio|時間
ya|もう／すでに|adverbio|時間
pronto|すぐに／早く|adverbio|時間
tarde|遅く／午後|adverbio|時間
antes|前に|adverbio|時間
después|後で|adverbio|時間
aquí|ここ|adverbio|場所
allí|そこ／あそこ|adverbio|場所
cerca|近くに|adverbio|場所
lejos|遠くに|adverbio|場所
porque|なぜなら|conjunción|接続
pero|しかし|conjunción|接続
también|〜もまた|adverbio|接続
tampoco|〜もまた…ない|adverbio|接続
entonces|それでは／その時|adverbio|接続
durante|〜の間|preposición|時間
