# HSK2のラベル: id|hanzi|tags（カンマ区切り、1語につき1つ以上）
hsk2-151|吧|particle
hsk2-152|白|adjective,color
hsk2-153|百|number
hsk2-154|帮助|verb,people
hsk2-155|报纸|tech
hsk2-156|比|preposition,degree
hsk2-157|便宜|adjective,shopping
hsk2-158|别|adverb
hsk2-159|长|adjective
hsk2-160|唱歌|verb,hobby
hsk2-161|出|verb
hsk2-162|穿|verb,clothes
hsk2-163|船|travel
hsk2-164|次|measure
hsk2-165|从|preposition
hsk2-166|错|adjective
hsk2-167|打篮球|verb,hobby
hsk2-168|大家|pronoun,people
hsk2-169|但是|conjunction
hsk2-170|到|verb,travel
hsk2-171|得|particle
hsk2-172|等|verb
hsk2-173|弟弟|family
hsk2-174|第一|number
hsk2-175|懂|verb,thinking
hsk2-176|对|adjective,preposition
hsk2-177|房间|home
hsk2-178|非常|adverb,degree
hsk2-179|服务员|people,food
hsk2-180|高|adjective
hsk2-181|告诉|verb,language
hsk2-182|哥哥|family
hsk2-183|给|verb,preposition
hsk2-184|公共汽车|travel
hsk2-185|公斤|measure,shopping
hsk2-186|公司|work
hsk2-187|贵|adjective,shopping
hsk2-188|过|particle
hsk2-189|孩子|family,people
hsk2-190|好吃|adjective,food
hsk2-191|号|measure,time
hsk2-192|黑|adjective,color
hsk2-193|红|adjective,color
hsk2-194|欢迎|verb,greeting
hsk2-195|还|adverb
hsk2-196|回答|verb,school
hsk2-197|机场|travel
hsk2-198|鸡蛋|food
hsk2-199|件|measure,clothes
hsk2-200|教室|school
hsk2-201|姐姐|family
hsk2-202|介绍|verb,greeting
hsk2-203|近|adjective,direction
hsk2-204|进|verb
hsk2-205|就|adverb
hsk2-206|觉得|verb,thinking
hsk2-207|咖啡|food
hsk2-208|开始|verb
hsk2-209|考试|school
hsk2-210|可能|modal,adverb
hsk2-211|可以|modal
hsk2-212|课|school
hsk2-213|快|adjective
hsk2-214|快乐|adjective,emotion
hsk2-215|累|adjective,body
hsk2-216|离|preposition,travel
hsk2-217|两|number
hsk2-218|路|travel
hsk2-219|旅游|verb,travel
hsk2-220|卖|verb,shopping
hsk2-221|慢|adjective
hsk2-222|忙|adjective,work
hsk2-223|每|pronoun
hsk2-224|妹妹|family
hsk2-225|门|home
hsk2-226|男人|people
hsk2-227|您|pronoun,greeting
hsk2-228|牛奶|food
hsk2-229|女人|people
hsk2-230|旁边|direction
hsk2-231|跑步|verb,hobby
hsk2-232|票|travel,shopping
hsk2-233|妻子|family
hsk2-234|起床|verb,daily
hsk2-235|千|number
hsk2-236|晴|adjective,weather
hsk2-237|去年|time
hsk2-238|让|verb
hsk2-239|上班|verb,work
hsk2-240|身体|body
hsk2-241|生病|verb,body
hsk2-242|生日|time,family
hsk2-243|时间|time
hsk2-244|事情|daily
hsk2-245|手表|clothes,time
hsk2-246|手机|tech
hsk2-247|送|verb
hsk2-248|所以|conjunction
hsk2-249|它|pronoun
hsk2-250|踢足球|verb,hobby
hsk2-251|题|school
hsk2-252|跳舞|verb,hobby
hsk2-253|外|direction
hsk2-254|完|verb
hsk2-255|玩|verb,hobby
hsk2-256|晚上|time
hsk2-257|为什么|question
hsk2-258|问|verb,language
hsk2-259|问题|school,thinking
hsk2-260|西瓜|food
hsk2-261|希望|verb,emotion
hsk2-262|洗|verb,daily
hsk2-263|向|preposition,direction
hsk2-264|小时|measure,time
hsk2-265|笑|verb,emotion
hsk2-266|新|adjective
hsk2-267|姓|verb,greeting
hsk2-268|休息|verb,daily
hsk2-269|雪|weather
hsk2-270|颜色|color
hsk2-271|眼睛|body
hsk2-272|羊肉|food
hsk2-273|药|body
hsk2-274|要|modal,verb
hsk2-275|也|adverb
hsk2-276|一起|adverb
hsk2-277|已经|adverb,time
hsk2-278|意思|language
hsk2-279|因为|conjunction
hsk2-280|阴|adjective,weather
hsk2-281|游泳|verb,hobby
hsk2-282|右边|direction
hsk2-283|鱼|food,animal
hsk2-284|元|measure,shopping
hsk2-285|远|adjective,direction
hsk2-286|运动|verb,hobby
hsk2-287|再|adverb
hsk2-288|早上|time
hsk2-289|张|measure
hsk2-290|丈夫|family
hsk2-291|找|verb
hsk2-292|真|adverb,degree
hsk2-293|正在|adverb,time
hsk2-294|知道|verb,thinking
hsk2-295|准备|verb
hsk2-296|着|particle
hsk2-297|自行车|travel
hsk2-298|走|verb
hsk2-299|最|adverb,degree
hsk2-300|左边|direction
